UID,SID,Count,Species,Sort,Ratio,LogAbund,Stability,Community_type
UAB007_W7D7,UAB007,4,Lactobacillus_crispatus,1,0.408214325,-1.922541284,Unstable,Liners
UAB015_W3D1,UAB015,2,Lactobacillus_crispatus,1,0.423873075,-3.257933485,Unstable,NonLacto
UAB116_W6D7,UAB116,4,Lactobacillus_crispatus,1,0.427006559,-4.101823517,Stable,NonLacto
UAB011_W7D1,UAB011,3,Lactobacillus_crispatus,1,0.442714857,-3.071207932,Stable,Lgasseri
EM04_W1D7,EM04,1,Lactobacillus_crispatus,1,0.485867542,-2.208575903,Stable,Ljensenii
UAB044_W5D7,UAB044,3,Lactobacillus_crispatus,1,0.493044893,-2.01844241,Unstable,Lgasseri
UAB088_W6D1,UAB088,3,Lactobacillus_crispatus,1,0.569454906,-3.093576061,Unstable,Liners
UAB028_W3D7,UAB028,2,Lactobacillus_crispatus,1,0.602715403,-1.425250771,Unstable,Lcrispatus
UAB110_W3D7,UAB110,2,Lactobacillus_crispatus,1,0.624300927,-3.615264976,Unstable,NonLacto
UAB088_W7D6,UAB088,4,Lactobacillus_crispatus,1,0.631056003,-3.054554558,Unstable,Liners
UAB044_W1D7,UAB044,1,Lactobacillus_crispatus,1,0.645620522,-2.339485228,Unstable,Lgasseri
EM10_W3D2,EM10,2,Lactobacillus_crispatus,1,0.646105129,-2.205856109,Stable,Liners
EM09_W8D5,EM09,4,Lactobacillus_crispatus,1,0.657880702,-2.243744427,Unstable,Liners
AYAC03_W1D7,AYAC03,1,Lactobacillus_crispatus,1,0.695841575,-4.076238039,Unstable,NonLacto
AYAC05_W1D6,AYAC05,1,Lactobacillus_crispatus,1,0.701369784,-1.952292651,Unstable,Liners
UAB011_W9D7,UAB011,5,Lactobacillus_crispatus,1,0.718953055,-3.417509374,Stable,Lgasseri
UAB096_W1D5,UAB096,1,Lactobacillus_crispatus,1,0.801054706,-3.984037011,Unstable,NonLacto
UAB079_W7D6,UAB079,4,Lactobacillus_crispatus,1,0.801895788,-4.19314197,Stable,NonLacto
AYAC05_W3D7,AYAC05,2,Lactobacillus_crispatus,1,0.878127867,-2.606389528,Unstable,Liners
UAB071_W7D7,UAB071,4,Lactobacillus_crispatus,1,0.896248165,-4.462180905,Stable,NonLacto
AYAC05_W9D7,AYAC05,5,Lactobacillus_crispatus,1,0.914622823,-2.564545687,Unstable,Liners
UAB079_W2D2,UAB079,1,Lactobacillus_crispatus,1,0.917175117,-4.591760035,Stable,NonLacto
UAB052_W5D7,UAB052,3,Lactobacillus_crispatus,1,0.920825044,-3.624338215,Unstable,NonLacto
UAB044_W3D7,UAB044,2,Lactobacillus_crispatus,1,0.959424993,-2.3117274,Unstable,Lgasseri
UAB010_W5D6,UAB010,3,Lactobacillus_crispatus,1,0.963373734,-1.076614967,Unstable,Lcrispatus
UAB039_W7D7,UAB039,4,Lactobacillus_crispatus,1,0.964874635,-2.386358993,Unstable,NonLacto
UAB006_W7D7,UAB006,4,Lactobacillus_crispatus,1,0.970246391,-4.701146924,Unstable,NonLacto
UAB015_W1D5,UAB015,1,Lactobacillus_crispatus,1,1.011493047,-4.116338565,Unstable,NonLacto
UAB035_W9D7,UAB035,5,Lactobacillus_crispatus,1,1.01354285,-1.949914875,Unstable,NonLacto
UAB052_W1D5,UAB052,1,Lactobacillus_crispatus,1,1.044459793,-3.052067077,Unstable,NonLacto
UAB048_W3D7,UAB048,2,Lactobacillus_crispatus,1,1.146884774,-2.446758334,Stable,NonLacto
UAB079_W6D7,UAB079,3,Lactobacillus_crispatus,1,1.196183707,-4.832682665,Stable,NonLacto
AYAC09_W5D7,AYAC09,3,Lactobacillus_crispatus,1,1.26962582,-1.274697811,Stable,Lcrispatus
UAB117_W5D6,UAB117,3,Lactobacillus_crispatus,1,1.299737539,-3.065577809,Stable,Liners
EM10_W1D7,EM10,1,Lactobacillus_crispatus,1,1.352594338,-2.598670986,Stable,Liners
EM10_W8D7,EM10,5,Lactobacillus_crispatus,1,1.359006107,-2.404450762,Stable,Liners
UAB129_W5D7,UAB129,3,Lactobacillus_crispatus,1,1.430938591,-3.248338362,Unstable,NonLacto
UAB052_W8D3,UAB052,4,Lactobacillus_crispatus,1,1.46376824,-3.100741052,Unstable,NonLacto
UAB122_W9D6,UAB122,5,Lactobacillus_crispatus,1,1.495821328,-2.672751442,Unstable,Lcrispatus
UAB035_W5D7,UAB035,3,Lactobacillus_crispatus,1,1.515942587,-2.32542772,Unstable,NonLacto
UAB129_W7D7,UAB129,4,Lactobacillus_crispatus,1,1.518676632,-4.692503962,Unstable,NonLacto
AYAC05_W5D5,AYAC05,3,Lactobacillus_crispatus,1,1.55851878,-3.616198991,Unstable,Liners
UAB096_W7D3,UAB096,4,Lactobacillus_crispatus,1,1.561432251,-4.906578315,Unstable,NonLacto
UAB071_W5D7,UAB071,3,Lactobacillus_crispatus,1,1.605809007,-4.056011125,Stable,NonLacto
UAB006_W9D7,UAB006,5,Lactobacillus_crispatus,1,1.646133515,-6.013676223,Unstable,NonLacto
UAB096_W9D7,UAB096,5,Lactobacillus_crispatus,1,1.76356677,-4.688246139,Unstable,NonLacto
UAB022_W4D1,UAB022,2,Lactobacillus_crispatus,1,1.875227367,-4.158015195,Stable,NonLacto
UAB007_W6D3,UAB007,3,Lactobacillus_crispatus,1,1.906692887,-2.643399036,Unstable,Liners
UAB021_W5D7,UAB021,3,Lactobacillus_crispatus,1,1.934020387,-4.982966661,Stable,NonLacto
UAB035_W7D4,UAB035,4,Lactobacillus_crispatus,1,2.017702043,-2.505918212,Unstable,NonLacto
UAB035_W2D7,UAB035,1,Lactobacillus_crispatus,1,2.059060765,-3.884792354,Unstable,NonLacto
AYAC02_W1D7,AYAC02,1,Lactobacillus_crispatus,1,2.083177329,-2.23669415,Unstable,Lcrispatus
UAB021_W3D7,UAB021,2,Lactobacillus_crispatus,1,2.207830837,-3.878811254,Stable,NonLacto
UAB110_W10D4,UAB110,5,Lactobacillus_crispatus,1,2.279490921,-4.032452024,Unstable,NonLacto
UAB022_W10D1,UAB022,5,Lactobacillus_crispatus,1,2.28260286,-4.217527376,Stable,NonLacto
UAB022_W2D1,UAB022,1,Lactobacillus_crispatus,1,2.576797862,-3.999917492,Stable,NonLacto
UAB022_W6D1,UAB022,3,Lactobacillus_crispatus,1,2.646116032,-3.966182341,Stable,NonLacto
AYAC03_W9D7,AYAC03,5,Lactobacillus_crispatus,1,2.651957855,-3.135239805,Unstable,NonLacto
UAB122_W4D7,UAB122,3,Lactobacillus_crispatus,1,2.692127813,-3.300874546,Unstable,Lcrispatus
UAB116_W9D6,UAB116,5,Lactobacillus_crispatus,1,2.731609235,-4.954677021,Stable,NonLacto
UAB039_W5D7,UAB039,3,Lactobacillus_crispatus,1,2.751507569,-4.067526235,Unstable,NonLacto
UAB035_W3D6,UAB035,2,Lactobacillus_crispatus,1,2.794500225,-3.326839883,Unstable,NonLacto
UAB039_W3D6,UAB039,2,Lactobacillus_crispatus,1,2.823385271,-3.458952718,Unstable,NonLacto
UAB039_W9D7,UAB039,5,Lactobacillus_crispatus,1,2.947336309,-4.031517051,Unstable,NonLacto
UAB038_W5D7,UAB038,3,Lactobacillus_crispatus,1,3.045267045,-4.530177984,Unstable,NonLacto
UAB096_W3D3,UAB096,2,Lactobacillus_crispatus,1,3.10859136,-5.050609993,Unstable,NonLacto
UAB039_W1D7,UAB039,1,Lactobacillus_crispatus,1,3.222518486,-4.22475374,Unstable,NonLacto
UAB038_W7D4,UAB038,4,Lactobacillus_crispatus,1,3.291859207,-4.15864053,Unstable,NonLacto
UAB129_W10D2,UAB129,5,Lactobacillus_crispatus,1,3.756774307,-5.876148359,Unstable,NonLacto
UAB122_W3D4,UAB122,2,Lactobacillus_crispatus,1,4.42570971,-4.436518915,Unstable,Lcrispatus
AYAC02_W9D3,AYAC02,5,Lactobacillus_crispatus,1,5.133152452,-5.328827157,Unstable,Lcrispatus
UAB129_W3D3,UAB129,2,Lactobacillus_crispatus,1,6.305139718,-8,Unstable,NonLacto
UAB129_W1D7,UAB129,1,Lactobacillus_iners,2,-1.42618783,-0.278597883,Unstable,NonLacto
UAB082_W10D2,UAB082,5,Lactobacillus_iners,2,-1.283233544,-0.078765901,Unstable,NonLacto
UAB122_W9D6,UAB122,5,Lactobacillus_iners,2,-1.276848899,-0.227388589,Unstable,Lcrispatus
UAB122_W4D7,UAB122,3,Lactobacillus_iners,2,-1.115933639,-0.010100239,Unstable,Lcrispatus
UAB096_W5D3,UAB096,3,Lactobacillus_iners,2,-1.017945577,-0.413611334,Unstable,NonLacto
UAB122_W3D4,UAB122,2,Lactobacillus_iners,2,-0.670183558,-1.791499013,Unstable,Lcrispatus
UAB110_W6D2,UAB110,3,Lactobacillus_iners,2,-0.609210184,-1.76713186,Unstable,NonLacto
UAB129_W5D7,UAB129,3,Lactobacillus_iners,2,-0.556142586,-0.41775406,Unstable,NonLacto
UAB088_W2D1,UAB088,1,Lactobacillus_iners,2,-0.5354554,-0.361668678,Unstable,Liners
AYAC03_W7D5,AYAC03,3,Lactobacillus_iners,2,-0.489205419,-0.499715976,Unstable,NonLacto
UAB077_W8D2,UAB077,4,Lactobacillus_iners,2,-0.445281373,-2.322942284,Stable,NonLacto
UAB117_W3D6,UAB117,2,Lactobacillus_iners,2,-0.439561396,-0.07612543,Stable,Liners
UAB006_W9D7,UAB006,5,Lactobacillus_iners,2,-0.355455732,-1.693474549,Unstable,NonLacto
UAB088_W7D6,UAB088,4,Lactobacillus_iners,2,-0.346954635,-0.234258688,Unstable,Liners
UAB116_W4D6,UAB116,3,Lactobacillus_iners,2,-0.253022692,-2.596588101,Stable,NonLacto
UAB116_W1D7,UAB116,1,Lactobacillus_iners,2,-0.232238907,-2.395860923,Stable,NonLacto
UAB060_W3D7,UAB060,2,Lactobacillus_iners,2,-0.216185401,-2.289691604,Stable,NonLacto
UAB021_W8D3,UAB021,4,Lactobacillus_iners,2,-0.204046598,-2.197335991,Stable,NonLacto
UAB035_W2D7,UAB035,1,Lactobacillus_iners,2,-0.194975081,-1.515191466,Unstable,NonLacto
UAB077_W9D7,UAB077,5,Lactobacillus_iners,2,-0.191928251,-1.989606663,Stable,NonLacto
UAB079_W3D7,UAB079,2,Lactobacillus_iners,2,-0.168701124,-2.066434921,Stable,NonLacto
UAB079_W7D6,UAB079,4,Lactobacillus_iners,2,-0.16455815,-1.654903247,Stable,NonLacto
UAB088_W6D1,UAB088,3,Lactobacillus_iners,2,-0.116530225,-0.007420813,Unstable,Liners
UAB007_W6D3,UAB007,3,Lactobacillus_iners,2,-0.111031817,-0.086782787,Unstable,Liners
UAB071_W3D7,UAB071,2,Lactobacillus_iners,2,-0.08327158,-1.861868685,Stable,NonLacto
AYAC09_W3D4,AYAC09,2,Lactobacillus_iners,2,-0.068564073,-1.638726277,Stable,Lcrispatus
UAB060_W1D6,UAB060,1,Lactobacillus_iners,2,-0.058257363,-1.819184048,Stable,NonLacto
UAB060_W5D7,UAB060,3,Lactobacillus_iners,2,-0.05704833,-1.963807095,Stable,NonLacto
EM10_W8D7,EM10,5,Lactobacillus_iners,2,-0.037627895,-0.011033675,Stable,Liners
EM10_W1D7,EM10,1,Lactobacillus_iners,2,-0.031644608,-0.007404274,Stable,Liners
UAB010_W5D6,UAB010,3,Lactobacillus_iners,2,-0.031209876,-0.726214841,Unstable,Lcrispatus
UAB002_W7D7,UAB002,4,Lactobacillus_iners,2,-0.020871353,-2.540106704,Unstable,Lcrispatus
UAB117_W5D6,UAB117,3,Lactobacillus_iners,2,-0.004092656,-0.022511565,Stable,Liners
UAB077_W3D1,UAB077,2,Lactobacillus_iners,2,0.000672524,-2.754097383,Stable,NonLacto
EM10_W4D7,EM10,3,Lactobacillus_iners,2,0.004239572,-0.012416384,Stable,Liners
UAB088_W10D1,UAB088,5,Lactobacillus_iners,2,0.005130419,-0.119827785,Unstable,Liners
UAB117_W1D6,UAB117,1,Lactobacillus_iners,2,0.006693222,-0.044670956,Stable,Liners
UAB117_W8D1,UAB117,4,Lactobacillus_iners,2,0.007965797,-0.022607704,Stable,Liners
AYAC05_W9D7,AYAC05,5,Lactobacillus_iners,2,0.010584554,-0.16021881,Unstable,Liners
UAB006_W2D2,UAB006,1,Lactobacillus_iners,2,0.014082914,-0.093449403,Unstable,NonLacto
UAB119_W3D7,UAB119,2,Lactobacillus_iners,2,0.034176205,-0.788526475,Unstable,Lcrispatus
UAB007_W1D7,UAB007,1,Lactobacillus_iners,2,0.046751783,-0.156661012,Unstable,Liners
UAB117_W9D6,UAB117,5,Lactobacillus_iners,2,0.064542099,-0.07394636,Stable,Liners
UAB006_W7D7,UAB006,4,Lactobacillus_iners,2,0.064584239,-1.276878822,Unstable,NonLacto
EM10_W3D2,EM10,2,Lactobacillus_iners,2,0.071532391,-0.099122897,Stable,Liners
AYAC10_W2D7,AYAC10,2,Lactobacillus_iners,2,0.078402644,-0.13693235,Stable,Lcrispatus
UAB015_W9D4,UAB015,4,Lactobacillus_iners,2,0.083399069,-0.458764098,Unstable,NonLacto
UAB106_W9D7,UAB106,5,Lactobacillus_iners,2,0.104860775,-0.283987135,Stable,Ljensenii
AYAC05_W3D7,AYAC05,2,Lactobacillus_iners,2,0.106164369,-0.193572463,Unstable,Liners
UAB110_W1D7,UAB110,1,Lactobacillus_iners,2,0.111241474,-3.088658055,Unstable,NonLacto
UAB022_W10D1,UAB022,5,Lactobacillus_iners,2,0.163497452,-1.38357193,Stable,NonLacto
EM10_W6D5,EM10,4,Lactobacillus_iners,2,0.174502867,-0.186421086,Stable,Liners
UAB106_W5D4,UAB106,3,Lactobacillus_iners,2,0.177036383,-0.337195622,Stable,Ljensenii
UAB035_W5D7,UAB035,3,Lactobacillus_iners,2,0.181448634,-0.758129809,Unstable,NonLacto
UAB119_W1D7,UAB119,1,Lactobacillus_iners,2,0.196639319,-0.408060094,Unstable,Lcrispatus
UAB082_W2D5,UAB082,1,Lactobacillus_iners,2,0.203230163,-0.92161944,Unstable,NonLacto
AYAC03_W9D7,AYAC03,5,Lactobacillus_iners,2,0.205351886,-0.415723963,Unstable,NonLacto
UAB002_W9D7,UAB002,5,Lactobacillus_iners,2,0.209160132,-2.960018298,Unstable,Lcrispatus
UAB007_W9D7,UAB007,5,Lactobacillus_iners,2,0.231844297,-0.256723675,Unstable,Liners
UAB022_W6D1,UAB022,3,Lactobacillus_iners,2,0.245782614,-1.392728298,Stable,NonLacto
AYAC09_W5D7,AYAC09,3,Lactobacillus_iners,2,0.264947999,-2.580068361,Stable,Lcrispatus
UAB028_W5D5,UAB028,3,Lactobacillus_iners,2,0.268239553,-1.881178259,Unstable,Lcrispatus
UAB071_W10D2,UAB071,5,Lactobacillus_iners,2,0.283353064,-1.967682086,Stable,NonLacto
UAB106_W3D7,UAB106,2,Lactobacillus_iners,2,0.312202026,-0.470157793,Stable,Ljensenii
UAB106_W1D7,UAB106,1,Lactobacillus_iners,2,0.326210764,-0.368020732,Stable,Ljensenii
AYAC02_W3D1,AYAC02,2,Lactobacillus_iners,2,0.340177226,-0.448756098,Unstable,Lcrispatus
AYAC09_W7D4,AYAC09,4,Lactobacillus_iners,2,0.353859895,-2.432470661,Stable,Lcrispatus
AYAC10_W1D7,AYAC10,1,Lactobacillus_iners,2,0.378977737,-1.64405481,Stable,Lcrispatus
UAB079_W10D1,UAB079,5,Lactobacillus_iners,2,0.418918384,-2.481573191,Stable,NonLacto
UAB106_W7D7,UAB106,4,Lactobacillus_iners,2,0.468788932,-0.602568034,Stable,Ljensenii
